ID,Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Dt_Cus_weekday,Dt_Cus_month,Dt_Cus_quarter,Dt_Cus_year,Membership_day,Total_children,Total_Mnt,Total_purchases,Total_accepted_cpm,Living_Status,Family_size,Age,Cluster No.
5524,Graduation,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0,4,2,2012,971,0,1617,25,1,Single,1,57,0
2174,Graduation,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,6,8,3,2014,125,2,27,6,0,Single,3,60,4
4141,Graduation,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,2,8,3,2013,472,0,776,21,0,Together,2,49,2
6182,Graduation,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,3,10,4,2014,65,1,53,8,0,Together,3,30,4
5324,PhD,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,6,1,1,2014,321,1,422,19,0,Together,3,33,1
7446,Master,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,0,9,3,2013,453,1,716,22,0,Together,3,47,1
965,Graduation,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,1,11,4,2012,753,1,590,21,0,Single,2,43,1
6177,PhD,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,0,8,3,2013,488,1,169,10,0,Together,3,29,3
4855,PhD,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,3,6,2,2013,548,1,46,6,1,Together,3,40,3
5899,PhD,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,3,3,1,2014,268,2,49,2,1,Together,4,64,3
1994,Graduation,51381.5,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,4,11,4,2013,386,1,19,4,0,Together,3,31,3
387,Basic,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,1,11,4,2012,753,0,61,6,0,Together,2,38,3
2125,Graduation,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,4,11,4,2013,386,0,1102,16,0,Single,1,55,0
8180,Master,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,4,11,4,2013,386,2,310,15,0,Single,3,62,3
2569,Graduation,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,2,10,4,2012,787,0,46,5,0,Together,2,27,3
2114,PhD,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,5,11,4,2012,742,0,1315,26,3,Single,1,68,0
9736,Graduation,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,0,12,4,2012,712,2,96,9,0,Together,4,34,3
